"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2006","Belgium","Crude marriage rate","4.2",""
"2006","Belgium","Mean age at first marriage - males","30.9",""
"2006","Belgium","Mean age at first marriage - females","28.4",""
"2006","Bulgaria","Crude marriage rate","4.3",""
"2006","Bulgaria","Mean age at first marriage - males","29.2",""
"2006","Bulgaria","Mean age at first marriage - females","25.7",""
"2006","Czech Republic","Crude marriage rate","5.2",""
"2006","Czech Republic","Mean age at first marriage - males","29.7",""
"2006","Czech Republic","Mean age at first marriage - females","26.8",""
"2006","Denmark","Crude marriage rate","6.7",""
"2006","Denmark","Mean age at first marriage - males","33.4",""
"2006","Denmark","Mean age at first marriage - females","30.9",""
"2006","Germany (including former GDR)","Crude marriage rate","4.5",""
"2006","Germany (including former GDR)","Mean age at first marriage - males","31.9",""
"2006","Germany (including former GDR)","Mean age at first marriage - females","29.1",""
"2006","Estonia","Crude marriage rate","5.2",""
"2006","Estonia","Mean age at first marriage - males","29.3",""
"2006","Estonia","Mean age at first marriage - females","26.6",""
"2006","Ireland","Crude marriage rate","5.2",""
"2006","Ireland","Mean age at first marriage - males","32.5",""
"2006","Ireland","Mean age at first marriage - females","30.7",""
"2006","Greece","Crude marriage rate","5.2",""
"2006","Greece","Mean age at first marriage - males","32.2",""
"2006","Greece","Mean age at first marriage - females","28.6",""
"2006","Spain","Crude marriage rate","4.5",""
"2006","Spain","Mean age at first marriage - males","31.8",""
"2006","Spain","Mean age at first marriage - females","29.6",""
"2006","France","Crude marriage rate","4.3",""
"2006","France","Mean age at first marriage - males","32.0",""
"2006","France","Mean age at first marriage - females","29.8",""
"2006","Croatia","Crude marriage rate","5.1",""
"2006","Croatia","Mean age at first marriage - males","29.5",""
"2006","Croatia","Mean age at first marriage - females","26.3",""
"2006","Italy","Crude marriage rate","4.2",""
"2006","Italy","Mean age at first marriage - males","32.5",""
"2006","Italy","Mean age at first marriage - females","29.3",""
"2006","Cyprus","Crude marriage rate","7.0",""
"2006","Cyprus","Mean age at first marriage - males","30.4",""
"2006","Cyprus","Mean age at first marriage - females","27.7",""
"2006","Latvia","Crude marriage rate","6.6",""
"2006","Latvia","Mean age at first marriage - males","28.3",""
"2006","Latvia","Mean age at first marriage - females","26.1",""
"2006","Lithuania","Crude marriage rate","6.5",""
"2006","Lithuania","Mean age at first marriage - males","27.4",""
"2006","Lithuania","Mean age at first marriage - females","25.1",""
"2006","Luxembourg","Crude marriage rate","4.1",""
"2006","Luxembourg","Mean age at first marriage - males","31.8",""
"2006","Luxembourg","Mean age at first marriage - females","29.4",""
"2006","Hungary","Crude marriage rate","4.4",""
"2006","Hungary","Mean age at first marriage - males","29.8",""
"2006","Hungary","Mean age at first marriage - females","27.0",""
"2006","Malta","Crude marriage rate","6.3",""
"2006","Malta","Mean age at first marriage - males","30.4",""
"2006","Malta","Mean age at first marriage - females","27.8",""
"2006","Netherlands","Crude marriage rate","4.4",""
"2006","Netherlands","Mean age at first marriage - males","32.0",""
"2006","Netherlands","Mean age at first marriage - females","29.4",""
"2006","Austria","Crude marriage rate","4.5",""
"2006","Austria","Mean age at first marriage - males","31.8",""
"2006","Austria","Mean age at first marriage - females","29.1",""
"2006","Poland","Crude marriage rate","5.9",""
"2006","Poland","Mean age at first marriage - males","27.9",""
"2006","Poland","Mean age at first marriage - females","25.5",""
"2006","Portugal","Crude marriage rate","4.5",""
"2006","Portugal","Mean age at first marriage - males","28.5",""
"2006","Portugal","Mean age at first marriage - females","26.4",""
"2006","Romania","Crude marriage rate","6.9",""
"2006","Romania","Mean age at first marriage - males","28.8",""
