"TIME","GEO","DURATION","UNIT","Value","Flag and Footnotes"
"2006","Belgium","Less than 1 year","Number","124",""
"2006","Belgium","Less than 5 years","Number","4,097",""
"2006","Belgium","10 years","Number","1,182",""
"2006","Belgium","From 15 to 19 years","Number","4,611",""
"2006","Belgium","From 20 to 24 years","Number","3,427",""
"2006","Belgium","25 years or over","Number","5,187",""
"2006","Bulgaria","Less than 1 year","Number","45",""
"2006","Bulgaria","Less than 5 years","Number","1,945",""
"2006","Bulgaria","10 years","Number","574",""
"2006","Bulgaria","From 15 to 19 years","Number","2,955",""
"2006","Bulgaria","From 20 to 24 years","Number","1,991",""
"2006","Bulgaria","25 years or over","Number","2,094",""
"2006","Czech Republic","Less than 1 year","Number","0",""
"2006","Czech Republic","Less than 5 years","Number","4,933",""
"2006","Czech Republic","10 years","Number","1,178",""
"2006","Czech Republic","From 15 to 19 years","Number","5,573",""
"2006","Czech Republic","From 20 to 24 years","Number","3,859",""
"2006","Czech Republic","25 years or over","Number","3,951",""
"2006","Denmark","Less than 1 year","Number",":",""
"2006","Denmark","Less than 5 years","Number",":",""
"2006","Denmark","10 years","Number",":",""
"2006","Denmark","From 15 to 19 years","Number",":",""
"2006","Denmark","From 20 to 24 years","Number",":",""
"2006","Denmark","25 years or over","Number",":",""
"2006","Germany (including former GDR)","Less than 1 year","Number","47",""
"2006","Germany (including former GDR)","Less than 5 years","Number","23,646",""
"2006","Germany (including former GDR)","10 years","Number","8,278",""
"2006","Germany (including former GDR)","From 15 to 19 years","Number","31,695",""
"2006","Germany (including former GDR)","From 20 to 24 years","Number","21,366",""
"2006","Germany (including former GDR)","25 years or over","Number","24,129",""
"2006","Estonia","Less than 1 year","Number","27",""
"2006","Estonia","Less than 5 years","Number","824",""
"2006","Estonia","10 years","Number","94",""
"2006","Estonia","From 15 to 19 years","Number","590",""
"2006","Estonia","From 20 to 24 years","Number","479",""
"2006","Estonia","25 years or over","Number","525",""
"2006","Ireland","Less than 1 year","Number",":",""
"2006","Ireland","Less than 5 years","Number",":",""
"2006","Ireland","10 years","Number",":",""
"2006","Ireland","From 15 to 19 years","Number",":",""
"2006","Ireland","From 20 to 24 years","Number",":",""
"2006","Ireland","25 years or over","Number",":",""
"2006","Greece","Less than 1 year","Number","1",""
