"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Mean age at first marriage - males",":",""
"2006","European Union (28 countries)","Mean age at first marriage - females",":",""
"2006","European Union (27 countries)","Mean age at first marriage - males",":",""
"2006","European Union (27 countries)","Mean age at first marriage - females",":",""
"2006","Euro area (19 countries)","Mean age at first marriage - males","31.8",""
"2006","Euro area (19 countries)","Mean age at first marriage - females","29.2",""
"2006","Euro area (18 countries)","Mean age at first marriage - males","31.9",""
"2006","Euro area (18 countries)","Mean age at first marriage - females","29.2",""
"2006","Euro area (17 countries)","Mean age at first marriage - males","31.9",""
"2006","Euro area (17 countries)","Mean age at first marriage - females","29.2",""
"2006","Euro area (16 countries)","Mean age at first marriage - males","31.9",""
"2006","Euro area (16 countries)","Mean age at first marriage - females","29.3",""
"2006","Belgium","Mean age at first marriage - males","30.9",""
"2006","Belgium","Mean age at first marriage - females","28.4",""
"2006","Bulgaria","Mean age at first marriage - males","29.2",""
"2006","Bulgaria","Mean age at first marriage - females","25.7",""
"2006","Czech Republic","Mean age at first marriage - males","29.7",""
"2006","Czech Republic","Mean age at first marriage - females","26.8",""
"2006","Denmark","Mean age at first marriage - males","33.4",""
"2006","Denmark","Mean age at first marriage - females","30.9",""
"2006","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - males","31.9",""
"2006","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - females","29.1",""
"2006","Germany (including former GDR)","Mean age at first marriage - males","31.9",""
"2006","Germany (including former GDR)","Mean age at first marriage - females","29.1",""
"2006","Estonia","Mean age at first marriage - males","29.3",""
"2006","Estonia","Mean age at first marriage - females","26.6",""
"2006","Ireland","Mean age at first marriage - males","32.5",""
"2006","Ireland","Mean age at first marriage - females","30.7",""
"2006","Greece","Mean age at first marriage - males","32.2",""
"2006","Greece","Mean age at first marriage - females","28.6",""
"2006","Spain","Mean age at first marriage - males","31.8",""
"2006","Spain","Mean age at first marriage - females","29.6",""
"2006","France","Mean age at first marriage - males","32.0",""
"2006","France","Mean age at first marriage - females","29.8",""
"2006","France (metropolitan)","Mean age at first marriage - males","32.0",""
"2006","France (metropolitan)","Mean age at first marriage - females","29.8",""
"2006","Croatia","Mean age at first marriage - males","29.5",""
"2006","Croatia","Mean age at first marriage - females","26.3",""
"2006","Italy","Mean age at first marriage - males","32.5",""
"2006","Italy","Mean age at first marriage - females","29.3",""
"2006","Cyprus","Mean age at first marriage - males","30.4",""
"2006","Cyprus","Mean age at first marriage - females","27.7",""
"2006","Latvia","Mean age at first marriage - males","28.3",""
"2006","Latvia","Mean age at first marriage - females","26.1",""
"2006","Lithuania","Mean age at first marriage - males","27.4",""
"2006","Lithuania","Mean age at first marriage - females","25.1",""
"2006","Luxembourg","Mean age at first marriage - males","31.8",""
"2006","Luxembourg","Mean age at first marriage - females","29.4",""
"2006","Hungary","Mean age at first marriage - males","29.8",""
"2006","Hungary","Mean age at first marriage - females","27.0",""
"2006","Malta","Mean age at first marriage - males","30.4",""
"2006","Malta","Mean age at first marriage - females","27.8",""
"2006","Netherlands","Mean age at first marriage - males","32.0",""
"2006","Netherlands","Mean age at first marriage - females","29.4",""
"2006","Austria","Mean age at first marriage - males","31.8",""
"2006","Austria","Mean age at first marriage - females","29.1",""
"2006","Poland","Mean age at first marriage - males","27.9",""
"2006","Poland","Mean age at first marriage - females","25.5",""
"2006","Portugal","Mean age at first marriage - males","28.5",""
"2006","Portugal","Mean age at first marriage - females","26.4",""
"2006","Romania","Mean age at first marriage - males","28.8",""
"2006","Romania","Mean age at first marriage - females","25.2",""
"2006","Slovenia","Mean age at first marriage - males","31.1",""
"2006","Slovenia","Mean age at first marriage - females","28.4",""
"2006","Slovakia","Mean age at first marriage - males","29.2",""
"2006","Slovakia","Mean age at first marriage - females","26.3",""
"2006","Finland","Mean age at first marriage - males","31.8",""
"2006","Finland","Mean age at first marriage - females","29.5",""
"2006","Sweden","Mean age at first marriage - males","34.4",""
"2006","Sweden","Mean age at first marriage - females","31.5",""
"2006","United Kingdom","Mean age at first marriage - males",":",""
"2006","United Kingdom","Mean age at first marriage - females",":",""
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Mean age at first marriage - males",":",""
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Mean age at first marriage - females",":",""
"2006","European Free Trade Association","Mean age at first marriage - males",":",""
"2006","European Free Trade Association","Mean age at first marriage - females",":",""
"2006","Iceland","Mean age at first marriage - males","34.2",""
"2006","Iceland","Mean age at first marriage - females","31.8",""
"2006","Liechtenstein","Mean age at first marriage - males",":",""
"2006","Liechtenstein","Mean age at first marriage - females",":",""
"2006","Norway","Mean age at first marriage - males","33.1",""
"2006","Norway","Mean age at first marriage - females","30.4",""
"2006","Switzerland","Mean age at first marriage - males","31.6",""
"2006","Switzerland","Mean age at first marriage - females","29.1",""
"2006","Montenegro","Mean age at first marriage - males","30.7",""
"2006","Montenegro","Mean age at first marriage - females","26.3",""
"2006","Former Yugoslav Republic of Macedonia, the","Mean age at first marriage - males","27.8",""
"2006","Former Yugoslav Republic of Macedonia, the","Mean age at first marriage - females",":",""
"2006","Albania","Mean age at first marriage - males",":",""
"2006","Albania","Mean age at first marriage - females",":",""
"2006","Serbia","Mean age at first marriage - males","29.8",""
"2006","Serbia","Mean age at first marriage - females","26.3",""
"2006","Turkey","Mean age at first marriage - males",":",""
"2006","Turkey","Mean age at first marriage - females",":",""
"2006","Andorra","Mean age at first marriage - males",":",""
"2006","Andorra","Mean age at first marriage - females",":",""
"2006","Belarus","Mean age at first marriage - males","26.2",""
"2006","Belarus","Mean age at first marriage - females","23.9",""
"2006","Bosnia and Herzegovina","Mean age at first marriage - males",":",""
"2006","Bosnia and Herzegovina","Mean age at first marriage - females",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age at first marriage - males",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age at first marriage - females",":",""
"2006","Moldova","Mean age at first marriage - males",":",""
"2006","Moldova","Mean age at first marriage - females",":",""
"2006","Monaco","Mean age at first marriage - males",":",""
"2006","Monaco","Mean age at first marriage - females",":",""
"2006","Russia","Mean age at first marriage - males",":",""
"2006","Russia","Mean age at first marriage - females",":",""
"2006","San Marino","Mean age at first marriage - males",":",""
"2006","San Marino","Mean age at first marriage - females",":",""
"2006","Ukraine","Mean age at first marriage - males","26.5",""
"2006","Ukraine","Mean age at first marriage - females","23.5",""
"2006","Armenia","Mean age at first marriage - males","29.9",""
"2006","Armenia","Mean age at first marriage - females","25.4",""
"2006","Azerbaijan","Mean age at first marriage - males","29.1",""
"2006","Azerbaijan","Mean age at first marriage - females","24.5",""
"2006","Georgia","Mean age at first marriage - males","31.0",""
"2006","Georgia","Mean age at first marriage - females","26.3",""
