"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2006","Belgium","Divorces","29,189",""
"2006","Bulgaria","Divorces","14,828",""
"2006","Czech Republic","Divorces","31,415",""
"2006","Denmark","Divorces","14,343",""
"2006","Germany (including former GDR)","Divorces","190,928",""
"2006","Estonia","Divorces","3,811",""
"2006","Ireland","Divorces","3,684",""
"2006","Greece","Divorces","13,218",""
"2006","Spain","Divorces","126,952",""
"2006","France","Divorces","139,147",""
"2006","Croatia","Divorces","4,651",""
"2006","Italy","Divorces","49,534",""
"2006","Cyprus","Divorces","1,753",""
"2006","Latvia","Divorces","7,249",""
"2006","Lithuania","Divorces","11,202",""
"2006","Luxembourg","Divorces","1,182",""
"2006","Hungary","Divorces","24,869",""
"2006","Malta","Divorces",":",""
"2006","Netherlands","Divorces","31,734",""
"2006","Austria","Divorces","20,336",""
"2006","Poland","Divorces","71,912",""
"2006","Portugal","Divorces","23,935",""
"2006","Romania","Divorces","32,672",""
"2006","Slovenia","Divorces","2,334",""
"2006","Slovakia","Divorces","12,716",""
"2006","Finland","Divorces","13,255",""
"2006","Sweden","Divorces","20,295",""
"2006","Liechtenstein","Divorces","81",""
"2006","Norway","Divorces","10,598",""
"2006","Switzerland","Divorces","20,981",""
"2006","Montenegro","Divorces","470",""
"2006","Former Yugoslav Republic of Macedonia, the","Divorces","1,475",""
"2006","Albania","Divorces","4,075",""
"2006","Serbia","Divorces","8,204",""
"2006","Turkey","Divorces","93,489",""
"2006","Bosnia and Herzegovina","Divorces","1,659",""
"2006","Ukraine","Divorces","179,123",""
"2007","Belgium","Divorces","30,081",""
"2007","Bulgaria","Divorces","16,347",""
"2007","Czech Republic","Divorces","31,129",""
"2007","Denmark","Divorces","14,066",""
"2007","Germany (including former GDR)","Divorces","187,072",""
"2007","Estonia","Divorces","3,809",""
"2007","Ireland","Divorces","3,684",""
"2007","Greece","Divorces","12,994",""
"2007","Spain","Divorces","125,721",""
"2007","France","Divorces","134,477",""
"2007","Croatia","Divorces","4,785",""
"2007","Italy","Divorces","50,669",""
"2007","Cyprus","Divorces","1,648",""
"2007","Latvia","Divorces","7,403",""
"2007","Lithuania","Divorces","11,336",""
"2007","Luxembourg","Divorces","1,106",""
"2007","Hungary","Divorces","25,160",""
"2007","Malta","Divorces",":",""
"2007","Netherlands","Divorces","31,983",""
"2007","Austria","Divorces","20,516",""
"2007","Poland","Divorces","66,586",""
"2007","Portugal","Divorces","25,411",""
"2007","Romania","Divorces","36,308",""
"2007","Slovenia","Divorces","2,617",""
"2007","Slovakia","Divorces","12,174",""
"2007","Finland","Divorces","13,224",""
"2007","Sweden","Divorces","20,669",""
"2007","Liechtenstein","Divorces","97",""
"2007","Norway","Divorces","10,280",""
"2007","Switzerland","Divorces","19,882",""
"2007","Montenegro","Divorces","453",""
"2007","Former Yugoslav Republic of Macedonia, the","Divorces","1,417",""
"2007","Albania","Divorces","3,305",""
"2007","Serbia","Divorces","8,622",""
"2007","Turkey","Divorces","94,219",""
"2007","Bosnia and Herzegovina","Divorces","1,826",""
"2007","Ukraine","Divorces","178,364",""
"2008","Belgium","Divorces","35,366",""
"2008","Bulgaria","Divorces","14,104",""
"2008","Czech Republic","Divorces","31,300",""
"2008","Denmark","Divorces","14,695",""
"2008","Germany (including former GDR)","Divorces","191,948",""
"2008","Estonia","Divorces","3,501",""
"2008","Ireland","Divorces","3,630",""
"2008","Greece","Divorces","13,163",""
"2008","Spain","Divorces","109,922",""
"2008","France","Divorces","132,594",""
"2008","Croatia","Divorces","5,025",""
"2008","Italy","Divorces","54,351",""
"2008","Cyprus","Divorces","1,639",""
"2008","Latvia","Divorces","6,214",""
"2008","Lithuania","Divorces","10,317",""
"2008","Luxembourg","Divorces","977",""
"2008","Hungary","Divorces","25,155",""
"2008","Malta","Divorces",":",""
"2008","Netherlands","Divorces","32,236",""
"2008","Austria","Divorces","19,701",""
"2008","Poland","Divorces","65,475",""
"2008","Portugal","Divorces","26,394",""
"2008","Romania","Divorces","35,685",""
"2008","Slovenia","Divorces","2,246",""
"2008","Slovakia","Divorces","12,675",""
"2008","Finland","Divorces","13,471",""
"2008","Sweden","Divorces","21,377",""
"2008","Liechtenstein","Divorces","98",""
"2008","Norway","Divorces","10,158",""
"2008","Switzerland","Divorces","19,613",""
"2008","Montenegro","Divorces","460",""
"2008","Former Yugoslav Republic of Macedonia, the","Divorces","1,209",""
"2008","Albania","Divorces","3,610",""
"2008","Serbia","Divorces","8,502",""
"2008","Turkey","Divorces","99,663",""
